Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full
"JOHNSON, Master Harold Theodor",Alive,Southampton,3,Child,4,Child,Male,11.1333333,347742,15,,3rd Class Passenger,3
"JOHNSON, Miss Eleanor Ileen",Alive,Southampton,3,Child,1,Child,Female,11.1333333,347742,15,,3rd Class Passenger,3
"JOHNSON, Mr August",Dead,Southampton,3,Man,49,Adult,Male,0,370160,,Seaman,3rd Class Passenger,3
"JOHNSON, Mr Malkolm Joackim",Dead,Southampton,3,Man,33,Adult,Male,7.775,347062,[37],General Labourer,3rd Class Passenger,3
"JOHNSON, Mr William Cahoone Jr.",Dead,Southampton,3,Man,19,Adult,Male,0,370160,,Seaman,3rd Class Passenger,3
"JOHNSON, Mrs Elisabeth Vilhelmina",Alive,Southampton,3,Woman,26,Adult,Female,11.1333333,347742,15,,3rd Class Passenger,3
"JOHNSTON, Master William Andrew",Dead,Southampton,3,Child,8,Child,Male,23.45,6607,,,3rd Class Passenger,3
"JOHNSTON, Miss Catherine Nellie",Dead,Southampton,3,Child,7,Child,Female,23.45,6607,,,3rd Class Passenger,3
"JOHNSTON, Mr Andrew Emslie",Dead,Southampton,3,Man,35,Adult,Male,23.45,6607,,Plumber,3rd Class Passenger,3
"JOHNSTON, Mr James",Alive,Belfast,Crew,Man,41,Adult,Male,,,2,Saloon Steward,Victualling Crew,V
"JOHNSTON, Mrs Eliza",Dead,Southampton,3,Woman,34,Adult,Female,23.45,6607,,,3rd Class Passenger,3
"JONES, Mr Albert",Dead,Southampton,Crew,Man,17,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"JONES, Mr Arthur Ernest",Dead,Southampton,Crew,Man,37,Adult,Male,,,,Plate Steward (2nd Class),Victualling Crew,V
"JONES, Mr Charles Cresson",Dead,Southampton,1,Man,46,Adult,Male,26,694,[80],Estate Manager,1st Class Passenger,1
"JONES, Mr H.",Dead,Southampton,Crew,Man,29,Adult,Male,,,,Roast Cook,Victualling Crew,V
"JONES, Mr Thomas William",Alive,Southampton,Crew,Man,32,Adult,Male,,,8,Able Seaman,Deck Crew,D
"JONES, Mr Victor Reginald",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"JONKOFF, Mr Lalio",Dead,Southampton,3,Man,23,Adult,Male,7.89583333,349204,,General Labourer,3rd Class Passenger,3
"JONSSON, Mr Carl",Alive,Southampton,3,Man,25,Adult,Male,7.85416667,350417,15,General Labourer,3rd Class Passenger,3
"JNSSON, Mr Nils Hilding",Dead,Southampton,3,Man,27,Adult,Male,7.85416667,350408,,General Labourer,3rd Class Passenger,3
"JOSEPH (SHAHIN), Mr Elias",Dead,Cherbourg,3,Man,39,Adult,Male,7.22916667,2675,,,3rd Class Passenger,3
"JOUANNAULT, Mr Georges Jules",Dead,Southampton,Crew,Man,24,Adult,Male,,,,Assistant Sauce Cook,Restaurant Staff,R
"JOUGHIN, Mr Charles John",Alive,Belfast,Crew,Man,32,Adult,Male,,,B,Chief Baker,Victualling Crew,V
"JUDD, Mr Charles Edward",Alive,Southampton,Crew,Man,31,Adult,Male,,,B,Fireman,Engineering Crew,E
"JUKES, Mr Henry James",Dead,Southampton,Crew,Man,38,Adult,Male,,,,Greaser,Engineering Crew,E
"JULIAN, Mr Henry Forbes",Dead,Southampton,1,Man,50,Adult,Male,26,113044,,Metallurgist,1st Class Passenger,1
"JUPE, Mr Boykett Herbert",Dead,Southampton,Crew,Man,30,Adult,Male,,,[73],Electrician,Engineering Crew,E
"JUSSILA, Miss Katriina",Dead,Southampton,3,Woman,20,Adult,Female,9.84166667,4136,,Servant,3rd Class Passenger,3
"JUSSILA, Miss Mari Aina",Dead,Southampton,3,Woman,21,Adult,Female,9.84166667,4137,,Servant,3rd Class Passenger,3
"JUSSILA, Mr Eiriik",Alive,Southampton,3,Man,32,Adult,Male,7.925,3101286,15,,3rd Class Passenger,3
"KALLIO, Mr Nikolai Erland",Dead,Southampton,3,Man,17,Adult,Male,7.125,3101274,,General Labourer,3rd Class Passenger,3
"KALVIK, Mr Johannes Halvorsen",Dead,Southampton,3,Man,21,Adult,Male,8.43333333,8475,,General Labourer,3rd Class Passenger,3
"KANTOR, Mr Sinai",Dead,Southampton,2,Man,34,Adult,Male,26,244367,[283],,2nd Class Passenger,2
"KANTOR, Mrs Miriam",Alive,Southampton,2,Woman,24,Adult,Female,26,244367,12,,2nd Class Passenger,2
"KARAJIC, Mr Milan",Dead,Southampton,3,Man,30,Adult,Male,7.89583333,349246,,General Labourer,3rd Class Passenger,3
"KARLSSON, Mr Einar Gervasius",Alive,Southampton,3,Man,21,Adult,Male,7.79583333,350053,13,Military,3rd Class Passenger,3
"KARLSSON, Mr Julius Konrad Eugen",Dead,Southampton,3,Man,33,Adult,Male,7.85416667,347465,,Engineer,3rd Class Passenger,3
"KARLSSON, Mr Nils August",Dead,Southampton,3,Man,22,Adult,Male,7.52083333,350060,,Farmer,3rd Class Passenger,3
"KARNES, Mrs Claire",Dead,Southampton,2,Woman,28,Adult,Female,21,13534,,,2nd Class Passenger,2
"KARUN, Miss Manca",Alive,Cherbourg,3,Child,4,Child,Female,13.4166667,349256,15,,3rd Class Passenger,3
"KARUN, Mr Franz",Alive,Cherbourg,3,Man,39,Adult,Male,13.4166667,349256,15,Hotelier,3rd Class Passenger,3
"KASPER, Mr F.",Alive,Southampton,Crew,Man,40,Adult,Male,,,,Fireman,Engineering Crew,E
"KASSEM HOUSSEIN, Mr Fared",Dead,Cherbourg,3,Man,18,Adult,Male,7.22916667,2700,,Farmer,3rd Class Passenger,3
"KATAVELOS, Mr Vasilios G.",Dead,Cherbourg,3,Man,19,Adult,Male,7.22916667,2682,[58],Farmer,3rd Class Passenger,3
"KEANE, Miss Nora Agnes",Alive,Queenstown,2,Woman,46,Adult,Female,12.35,226593,10,,2nd Class Passenger,2
"KEANE, Mr Andrew Andy",Dead,Queenstown,3,Man,23,Adult,Male,7.75,,,Farm Labourer,,3
"KEANE, Mr Daniel",Dead,Queenstown,2,Man,35,Adult,Male,12.35,233734,,,2nd Class Passenger,2
"KEARL, Mr Charles Henry",Dead,Southampton,Crew,Man,44,Adult,Male,,,,Greaser,Engineering Crew,E
"KEARL, Mr George Edward",Dead,Southampton,Crew,Man,24,Adult,Male,,,,Trimmer,Engineering Crew,E
"KEEFE, Mr Arthur",Dead,Southampton,3,Man,39,Adult,Male,7.25,323592,A[332],Farmer,3rd Class Passenger,3
"KEEN, Mr Percy Edward",Alive,Southampton,Crew,Man,30,Adult,Male,,,15,Saloon Steward (1st class),Victualling Crew,V
"KEEPING, Mr Edwin Herbert",Dead,Southampton,1,Man,33,Adult,Male,211.5,113503,[45],Servant,1st Class PassengerServant,1
"KELLAND, Mr Thomas",Dead,Southampton,Crew,Man,18,Adult,Male,,,,2nd class library steward,Victualling Crew,V
"KELLY, Miss Anna Katherine",Alive,Queenstown,3,Woman,20,Adult,Female,7.75,9234,16,,3rd Class Passenger,3
"KELLY, Miss Mary",Alive,Queenstown,3,Woman,22,Adult,Female,7.75,14312,D,,3rd Class Passenger,3
"KELLY, Mr James",Dead,Southampton,3,Man,19,Adult,Male,8.05,363592,,Painter & Decorator,3rd Class Passenger,3
"KELLY, Mr James",Dead,Queenstown,3,Man,44,Adult,Male,8.05,363592,[70],Farm Labourer,3rd Class Passenger,3
"KELLY, Mr James",Dead,Southampton,3,Man,44,Adult,Male,8.05,363592,,Greaser,3rd Class Passenger,3
"KELLY, Mr William",Dead,Belfast,Crew,Man,23,Adult,Male,,,,Assistant Electrician,Engineering Crew,E
"KELLY, Mrs Fanny Maria",Alive,Southampton,2,Woman,45,Adult,Female,13.5,223596,9,,2nd Class Passenger,2
"KEMISH, Mr George",Alive,Southampton,Crew,Man,22,Adult,Male,,,,Fireman,Engineering Crew,E
"KEMP, Mr Thomas Hulman",Dead,Belfast,Crew,Man,43,Adult,Male,,,,Extra Assistant 4th Engineer (Refrigeration),Engineering Crew,E
"KENCHENTEN, Mr Frederick Charles",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Greaser,Engineering Crew,E
"KENNEDY, Mr John",Alive,Queenstown,3,Man,24,Adult,Male,7.75,368783,,Farm Labourer,3rd Class Passenger,3
"KENNELL, Mr Charles",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Hebrew Cook,Victualling Crew,V
"KENT, Mr Edward Austin",Dead,Cherbourg,1,Man,58,Adult,Male,29.7,11771,[258],Architect,1st Class Passenger,1
"KENYON, Mr Frederick Roland",Dead,Southampton,1,Man,41,Adult,Male,51.8625,,,,,1
"KENYON, Mrs Marion Estelle",Alive,Southampton,1,Woman,40,Adult,Female,0,,8,,,1
"KENZLER, Mr August",Dead,Belfast,Crew,Man,43,Adult,Male,,,,Storekeeper,Engineering Crew,E
"KERLEY, Mr William Thomas",Dead,Southampton,Crew,Man,28,Adult,Male,,,,Assistant Saloon Steward (2nd class),Victualling Crew,V
"KERR, Mr Thomas Russell",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Fireman,Engineering Crew,E
"KETCHLEY, Mr Henry",Dead,Belfast,Crew,Man,35,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"KHALIL, Mr Betros",Dead,Cherbourg,3,Man,25,Adult,Male,14.4541667,2660,,Farm Labourer,3rd Class Passenger,3
"KHALIL, Mrs Zahie Maria",Dead,Cherbourg,3,Woman,20,Adult,Female,14.4541667,,,Farm Labourer,,3
"KIERAN, Mr Edgar Michael",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Storekeeper,Victualling Crew,V
"KIERAN, Mr James William",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Chief 3rd Class Steward,Victualling Crew,V
"KIERNAN, Mr John",Dead,Queenstown,3,Man,25,Adult,Male,7.75,367227,,General Labourer,3rd Class Passenger,3
"KIERNAN, Mr Philip",Dead,Queenstown,3,Man,22,Adult,Male,7.75,367229,,General Labourer,3rd Class Passenger,3
"KILGANNON, Mr Thomas",Dead,Queenstown,3,Man,22,Adult,Male,7.7375,36865,,Farm Labourer,3rd Class Passenger,3
"KIMBALL, Mr Edwin Nelson Jr.",Alive,Southampton,1,Man,42,Adult,Male,52.5541667,11753,5,,1st Class Passenger,1
"KIMBALL, Mrs Susan Gertrude",Alive,Southampton,1,Woman,45,Adult,Female,51.8625,17464,5,,,1
"KING, Mr Alfred John Moffett",Dead,Southampton,Crew,Man,18,Adult,Male,,,[238],Lift Steward,Victualling Crew,V
"KING, Mr Ernest Waldron",Dead,Southampton,Crew,Man,28,Adult,Male,,,[321],Clerk (1st class),Victualling Crew,V
"KING, Mr G.",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Scullion,Victualling Crew,V
"KING, Mr Thomas Walter",Dead,Southampton,Crew,Man,42,Adult,Male,,,,Master-at-arms,Deck Crew,D
"KINGSCOTE, Mr William Ford",Dead,Southampton,Crew,Man,42,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"KINK-HEILMANN, Miss Luise Gretchen",Alive,Southampton,3,Child,4,Child,Female,22,315153,2,,3rd Class Passenger,3
"KINK-HEILMANN, Mrs Luise",Alive,Southampton,3,Woman,26,Adult,Female,22,315153,2,,3rd Class Passenger,3
"KINK, Miss Maria",Dead,Southampton,3,Woman,22,Adult,Female,8.6625,315152,,,3rd Class Passenger,3
"KINK, Mr Anton",Alive,Southampton,3,Man,29,Adult,Male,22,315153,2,,3rd Class Passenger,3
"KINK, Mr Vincenz",Dead,Southampton,3,Man,26,Adult,Male,8.6625,315151,,Magazineer,3rd Class Passenger,3
"KINSELLA, Mr Louis",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Fireman,Engineering Crew,E
"KIRKALDY, Mr Thomas Benjamin",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Bed Room Steward,Victualling Crew,V
"KIRKHAM, Mr James",Dead,Southampton,Crew,Man,38,Adult,Male,,,,Greaser,Engineering Crew,E
"KIRKLAND, Fr Charles Leonard",Dead,Queenstown,2,Man,52,Adult,Male,12.35,219533,,Priest / Minister,2nd Class Passenger,2
"KITCHING, Mr Arthur Alfred",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"KLABER, Mr Herman",Dead,Southampton,1,Man,45,Adult,Male,26.55,113028,,Businessman,1st Class Passenger,1
"KLASeN, Miss Gertrud Emilia",Dead,Southampton,3,Child,1,Child,Female,12.1833333,350405,,,3rd Class Passenger,3
"KLASeN, Mr Klas Albin",Dead,Southampton,3,Man,18,Adult,Male,7.85416667,350404,,Farm Labourer,3rd Class Passenger,3
"KLASeN, Mrs Hulda Kristina Eugenia",Dead,Southampton,3,Woman,36,Adult,Female,12.1833333,350405,,Housewife,3rd Class Passenger,3
"KLEIN, Mr Herbert",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Barber,Victualling Crew,V
"KNIGHT, Mr George",Alive,Southampton,Crew,Man,44,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"KNIGHT, Mr Leonard George",Dead,Southampton,Crew,Man,21,Adult,Male,,,,Steward (3rd class),Victualling Crew,V
"KNIGHT, Mr Robert",Dead,Belfast,2,Man,39,Adult,Male,0,239855,,Fitter,2nd Class PassengerH&W Guarantee Group,2
"KNOWLES, Mr Thomas",Alive,Southampton,Crew,Man,42,Adult,Male,,,C,Firemens' Messman,Engineering Crew,E
"KRAEFF, Mr Theodor",Dead,Cherbourg,3,Man,,Adult,Male,7.89583333,349253,,General Labourer,3rd Class Passenger,3
"KREKORIAN, Mr Neshan",Alive,Cherbourg,3,Man,25,Adult,Male,7.22916667,2654,10,General Labourer,3rd Class Passenger,3
"KREUCHEN, Miss Emilie",Alive,Southampton,1,Woman,29,Adult,Female,211.3375,24160,2,Personal Maid,1st Class PassengerServant,1
"KRINS, Mr Georges Alexandre",Dead,Southampton,2,Man,23,Adult,Male,0,250654,,Musician,2nd Class PassengerMusician,2
"KUTSCHER (LITHMAN), Mr Simon",Dead,Southampton,3,Man,26,Adult,Male,7.55,251,,Baker,3rd Class Passenger,3
"KVILLNER, Mr Johan Henrik Johannesson",Dead,Southampton,2,Man,31,Adult,Male,10.5,18723,[165],Mechanical Engineer,2nd Class Passenger,2
"LACEY, Mr Bertie William",Dead,Southampton,Crew,Man,19,Adult,Male,,,,"Assistant Saloon steward, 2nd Class",Victualling Crew,V
"LAHHuD ISHAQ MU'AWWAD, Mr Sarks",Dead,Cherbourg,3,Man,35,Adult,Male,7.225,,,General Labourer,,3
"LAHTINEN, Fr William",Dead,Southampton,2,Man,35,Adult,Male,26,250651,,Priest / Minister,2nd Class Passenger,2
"LAHTINEN, Mrs Anna Amelia",Dead,Southampton,2,Woman,34,Adult,Female,26,250651,,,2nd Class Passenger,2
"LAHY, Mr T. E.",Dead,Southampton,Crew,Man,32,Adult,Male,,,,Fireman,Engineering Crew,E
"LAITINEN, Miss Kristina Sofia",Dead,Southampton,3,Woman,37,Adult,Female,9.5875,4135,,Housekeeper,3rd Class Passenger,3
"LAKE, Mr William",Dead,Belfast,Crew,Man,35,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"LALEFF, Mr Kristo",Dead,Southampton,3,Man,23,Adult,Male,7.89583333,349217,,General Labourer,3rd Class Passenger,3
"LAM, Mr Ali",Alive,Southampton,3,Man,38,Adult,Male,56.4958333,1601,C,Seaman,3rd Class Passenger,3
"LAM, Mr Len",Dead,Southampton,3,Man,23,Adult,Male,56.4958333,1601,,Seaman,3rd Class Passenger,3
"LAMB, Mr John Joseph",Dead,Queenstown,2,Man,30,Adult,Male,10.7083333,240261,,Gentleman,2nd Class Passenger,2
"LANDERGREN, Miss Aurora Adelia",Alive,Southampton,3,Woman,22,Adult,Female,7.25,7077,13,,3rd Class Passenger,3
"LANE, Mr Albert Edward",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"LANE, Mr Patrick",Dead,Queenstown,3,Man,16,Adult,Male,7.75,7935,,Farm Labourer,3rd Class Passenger,3
"LANG, Mr Fang",Alive,Southampton,3,Man,32,Adult,Male,56.4958333,1601,14,Seaman,3rd Class Passenger,3
"LAROCHE, Miss Louise",Alive,Cherbourg,2,Child,1,Child,Female,41.5791667,2123,14,,2nd Class Passenger,2
"LAROCHE, Miss Simonne Marie Anne Andre",Alive,Cherbourg,2,Child,3,Child,Female,41.5791667,2123,14,,2nd Class Passenger,2
"LAROCHE, Mr Joseph Philippe Lemercier",Dead,Cherbourg,2,Man,25,Adult,Male,41.5791667,2123,,Engineer,2nd Class Passenger,2
"LAROCHE, Mrs Juliette Marie Louise",Alive,Cherbourg,2,Woman,22,Adult,Female,41.5791667,2123,14,,2nd Class Passenger,2
"LARSSON-RONDBERG, Mr Edvard A.",Dead,Southampton,3,Man,22,Adult,Male,7.775,347065,,General Labourer,3rd Class Passenger,3
"LARSSON, Mr August Viktor",Dead,Southampton,3,Man,29,Adult,Male,9.48333333,7545,,General Labourer,3rd Class Passenger,3
"LARSSON, Mr Bengt Edvin",Dead,Southampton,3,Man,29,Adult,Male,7.775,347067,,General Labourer,3rd Class Passenger,3
"LATIMER, Mr Andrew L",Dead,Belfast,Crew,Man,55,Adult,Male,,,,Chief Steward,Victualling Crew,V
"LAVINGTON, Miss Elizabeth",Alive,Southampton,Crew,Woman,40,Adult,Female,,,11,Stewardess,Victualling Crew,V
"LAWRENCE, Mr Arthur",Dead,Belfast,Crew,Man,35,Adult,Male,,,[90],Saloon Steward (1st class),Victualling Crew,V
"LEADER, Dr Alice May",Alive,Southampton,1,Woman,49,Adult,Female,25.929167,17465,8,Doctor,,1
"LEADER, Mr Archibald",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Confectioner,Victualling Crew,V
"LEATHER, Mrs Elizabeth Mary",Alive,Southampton,Crew,Woman,41,Adult,Female,,,,Stewardess,Victualling Crew,V
"LEE, Mr H.",Dead,Southampton,Crew,Man,18,Adult,Male,,,,Trimmer,Engineering Crew,E
"LEE, Mr Henry Reginald",Alive,Southampton,Crew,Man,29,Adult,Male,,,,Scullion,Victualling Crew,V
"LEE, Mr Reginald Robinson",Alive,Southampton,Crew,Man,41,Adult,Male,,,13,Lookout,Deck Crew,D
"LEFEBVRE, Master Henry",Dead,Southampton,3,Child,5,Child,Male,25.4666667,4133,,,3rd Class Passenger,3
"LEFEBVRE, Miss Ida",Dead,Southampton,3,Child,3,Child,Female,25.4666667,4133,,,3rd Class Passenger,3
"LEFEBVRE, Miss Jeannie",Dead,Southampton,3,Child,8,Child,Female,25.4666667,4133,,,3rd Class Passenger,3
"LEFEBVRE, Miss Mathilde",Dead,Southampton,3,Child,12,Child,Female,25.4666667,4133,,,3rd Class Passenger,3
"LEFEBVRE, Mr Paul Georges",Dead,Southampton,Crew,Man,35,Adult,Male,,,[211],Saloon Steward,Victualling Crew,V
"LEFEBVRE, Mrs Frances Marie",Dead,Southampton,3,Woman,40,Adult,Female,25.4666667,4133,,,3rd Class Passenger,3
"LEHMANN, Miss Bertha",Alive,Cherbourg,2,Woman,17,Adult,Female,12,1748,12,,2nd Class Passenger,2
"LEINONEN, Mr Antti Gustaf",Dead,Southampton,3,Man,32,Adult,Male,7.925,3101292,,,3rd Class Passenger,3
"LEITCH, Miss Jessie Wills",Alive,Southampton,2,Woman,31,Adult,Female,33,248727,11,,2nd Class Passenger,2
"LEMORE, Mrs Amelia",Alive,Southampton,2,Woman,46,Adult,Female,10.5,34260,14,,,2
"LENNON, Mr Denis",Dead,Queenstown,3,Man,20,Adult,Male,15.5,370371,,General Labourer,3rd Class Passenger,3
"LEONARD, Mr Lionel",Dead,Southampton,3,Man,36,Adult,Male,0,370160,,Seaman,3rd Class Passenger,3
"LEONARD, Mr Matthew",Dead,Belfast,Crew,Man,25,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"LEROY, Miss Berthe",Alive,Cherbourg,1,Woman,27,Adult,Female,106.425,17761,2,Personal Maid,1st Class PassengerServant,1
"LESTER, Mr James",Dead,Southampton,3,Man,26,Adult,Male,24.15,48871,,Dipper,3rd Class Passenger,3
"LESUEUR, Mr Gustave J.",Alive,Cherbourg,1,Man,35,Adult,Male,512.329167,17755,3,Servant,1st Class PassengerServant,1
"LEVETT, Mr George Alfred",Dead,Belfast,Crew,Man,21,Adult,Male,,,,Assistant Pantryman Steward (1st Class),Victualling Crew,V
"LVY, Mr Ren Jacques",Dead,Southampton,2,Man,36,Adult,Male,12.875,2163,,Chemist,2nd Class Passenger,2
"LEWIS, Mr Arthur Ernest Read",Alive,Southampton,Crew,Man,27,Adult,Male,,,,Steward,Victualling Crew,V
"LEWY, Mr Ervin G.",Dead,Cherbourg,1,Man,30,Adult,Male,27.7208333,17612,,Jeweller,1st Class Passenger,1
"LEYSON, Mr Robert William Norman",Dead,Southampton,2,Man,25,Adult,Male,10.5,29566,[108],Engineer,2nd Class Passenger,2
"LIEVENS, Mr Ren Aim",Dead,Southampton,3,Man,24,Adult,Male,9.5,345781,,Farmer,3rd Class Passenger,3
"LIGHT, Mr Charles Edward",Dead,Southampton,Crew,Man,23,Adult,Male,,,,Plate Steward (1st class),Victualling Crew,V
"LIGHT, Mr Christopher William",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Fireman,Engineering Crew,E
"LIGHT, Mr W.",Dead,Southampton,Crew,Man,47,Adult,Male,,,,Fireman,Engineering Crew,E
"LIGHTOLLER, Mr Charles Herbert",Alive,Belfast,Crew,Man,38,Adult,Male,,,B,2nd. Officer,Deck CrewTitanic Officers,D
"LINDAHL, Miss Agda Thorilda Viktoria",Dead,Southampton,3,Woman,25,Adult,Female,7.775,347071,,,3rd Class Passenger,3
"LINDBLOM, Miss Augusta Charlotta",Dead,Southampton,3,Woman,45,Adult,Female,7.75,347073,,,3rd Class Passenger,3
"LINDEBERG-LIND, Mr Erik Gustaf",Dead,Southampton,1,Man,42,Adult,Male,26.55,17475,,Businessman,1st Class Passenger,1
"LINDELL, Mr Edvard Bengtsson",Dead,Southampton,3,Man,36,Adult,Male,15.55,349910,A,General Labourer,3rd Class Passenger,3
"LINDELL, Mrs Elin Gerda",Dead,Southampton,3,Woman,30,Adult,Female,15.55,349910,A,,3rd Class Passenger,3
"LINDQVIST, Mr Eino William",Alive,Southampton,3,Man,20,Adult,Male,7.925,3101285,15,,3rd Class Passenger,3
"LINDSAY, Mr William Charles",Alive,Southampton,Crew,Man,30,Adult,Male,,,3,Fireman,Engineering Crew,E
"LINDSTRM, Mrs Sigrid",Alive,Cherbourg,1,Woman,55,Adult,Female,27.7208333,112377,6,,1st Class Passenger,1
"LINEHAN, Mr Michael",Dead,Queenstown,3,Man,21,Adult,Male,7.87916667,330971,,Farm Labourer,3rd Class Passenger,3
"LINES, Miss Mary Conover",Alive,Cherbourg,1,Woman,16,Adult,Female,39.4,17592,9,,1st Class Passenger,1
"LINES, Mrs Elizabeth Lindsey",Alive,Cherbourg,1,Woman,50,Adult,Female,39.4,17592,9,,1st Class Passenger,1
"LING, Mr Lee",Dead,Southampton,3,Man,28,Adult,Male,56.4958333,1601,,Seaman,3rd Class Passenger,3
"LINHART, Mr Wenzel",Dead,Southampton,3,Man,27,Adult,Male,9.5,345775,[298],Baker,3rd Class Passenger,3
"LINNANE, Mr John",Dead,Queenstown,2,Man,61,Adult,Male,12.35,235509,,Gentleman,2nd Class Passenger,2
"LITTLEJOHN, Mr Alexander James",Alive,Belfast,Crew,Man,40,Adult,Male,,,13,Saloon Steward (1st class),Victualling Crew,V
"LIVSHIN, Mr David (Abraham Harmer)",Dead,Southampton,3,Man,25,Adult,Male,7.25,374887,B,Jeweller,3rd Class Passenger,3
"LLOYD, Mr Humphrey",Dead,Belfast,Crew,Man,41,Adult,Male,,,[57],Saloon Steward (1st class),Victualling Crew,V
"LLOYD, Mr William",Dead,Southampton,Crew,Man,29,Adult,Male,,,,Fireman,Engineering Crew,E
"LOBB, Mr William Arthur",Dead,Southampton,3,Man,30,Adult,Male,16.1,3336,,Engineer,3rd Class Passenger,3
"LOBB, Mrs Cordelia K.",Dead,Southampton,3,Woman,26,Adult,Female,16.1,3336,[55],,3rd Class Passenger,3
"LOCKE, Mr A.",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Scullion,Victualling Crew,V
"LOCKYER, Mr Edward Thomas",Dead,Southampton,3,Man,19,Adult,Male,7.87916667,1222,[153],Grocers Assistant,3rd Class Passenger,3
"LONG, Mr Frank",Dead,Southampton,Crew,Man,28,Adult,Male,,,,Trimmer,Engineering Crew,E
"LONG, Mr Milton Clyde",Dead,Southampton,1,Man,29,Adult,Male,30,113501,[126],,1st Class Passenger,1
"LONG, Mr William",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Trimmer,Engineering Crew,E
"LONGLEY, Miss Gretchen Fiske",Alive,Cherbourg,1,Woman,21,Adult,Female,77.9583333,13502,10,,1st Class Passenger,1
"LONGMUIR, Mr John Dickson",Dead,Southampton,Crew,Man,19,Adult,Male,,,,Assistant Pantry Steward (2nd class),Victualling Crew,V
"LORING, Mr Joseph Holland",Dead,Southampton,1,Man,30,Adult,Male,45.5,113801,,Stockbroker,1st Class Passenger,1
"LOUCH, Mr Charles Alexander",Dead,Southampton,2,Man,50,Adult,Male,26,3085,[121],Saddler,2nd Class Passenger,2
"LOUCH, Mrs Alice Adelaide",Alive,Southampton,2,Woman,42,Adult,Female,26,3085,,,2nd Class Passenger,2
"LOVELL, Mr John",Dead,Southampton,Crew,Man,37,Adult,Male,,,,Grill Cook,Victualling Crew,V
"LOVELL, Mr John Hall (Henry)",Dead,Southampton,3,Man,20,Adult,Male,7.25,,,Farmer,,3
"LOWE, Mr Harold Godfrey",Alive,Belfast,Crew,Man,29,Adult,Male,,,14,5th. Officer,Deck CrewTitanic Officers,D
"LUCAS, Mr William Arthur",Alive,Southampton,Crew,Man,25,Adult,Male,,,D,Able Seaman,Deck Crew,D
"LUCAS, Mr William Watson",Alive,Belfast,Crew,Man,31,Adult,Male,,,A,Saloon Steward,Victualling Crew,V
"LULIC, Mr Nikola",Alive,Southampton,3,Man,29,Adult,Male,8.6625,315098,15,,3rd Class Passenger,3
"LUNDAHL, Mr Johan Svensson",Dead,Southampton,3,Man,51,Adult,Male,7.05416667,347743,,General Labourer,3rd Class Passenger,3
"LUNDIN, Miss Olga Elida",Alive,Southampton,2,Woman,23,Adult,Female,7.85416667,347469,10,,2nd Class Passenger,2
"LUNDSTRM, Mr Thure Edvin",Alive,Southampton,3,Man,32,Adult,Male,7.57916667,350403,15,,3rd Class Passenger,3
"LURETTE, Miss Eugnie Elise",Alive,Cherbourg,1,Woman,59,Adult,Female,146.520833,17569,6,Personal Maid,1st Class PassengerServant,1
"LYDIATT, Mr Charles",Dead,Southampton,Crew,Man,45,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"LYMPEROPOULUS, Mr Panagiotis K.",Dead,Cherbourg,3,Man,30,Adult,Male,6.4375,2683,[196],General Labourer,3rd Class Passenger,3
"LYNTAKOFF, Mr Stanko",Dead,Southampton,3,Man,44,Adult,Male,7.89583333,349235,,General Labourer,3rd Class Passenger,3
"LYONS, Mr William Henry",Dead,Southampton,Crew,Man,25,Adult,Male,,,4,Able Seaman,Deck Crew,D
"MABEY, Mr John Charles",Dead,Southampton,Crew,Man,23,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"MACK, Mrs Mary",Dead,Southampton,2,Woman,57,Adult,Female,10.5,S.O./C. 3,[52],,2nd Class Passenger,2
"MACKAY, Mr Charles Donald",Alive,Belfast,Crew,Man,34,Adult,Male,,,11,Saloon Steward,Victualling Crew,V
