"","Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"5123","Minhye Lee","Republic of Korea",26,1.74,70,"F",1985-11-10,"GYUNGGI (KOR)",0,0,0,0,"Cycling - Track","Women's Omnium"
"5124","Myung Ho Lee","Republic of Korea",32,1.78,85,"M",1979-10-12,"",0,0,0,0,"Hockey","Men's Hockey"
"5125","Nam Yong Lee","Republic of Korea",28,1.72,70,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"5126","Rajin Lee","Republic of Korea",22,1.66,68,"F",1990-10-01,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"5127","Seen Lee","Australia",29,1.6,60,"F",NA,"Melbourne",0,0,0,0,"Weightlifting","Women's 63kg"
"5128","Seonok Lee","Republic of Korea",31,1.64,59,"F",1981-02-02,"Seoul (KOR)",0,0,0,0,"Hockey","Women's Hockey"
"5129","Seung Il Lee","Republic of Korea",29,1.77,74,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"5130","Seungchul Lee","Republic of Korea",24,1.74,60,"M",NA,"JEONNAM (KOR)",0,0,0,0,"Wrestling","Men's 60kg Freestyle"
"5131","Seyeol Lee","Republic of Korea",21,1.8,84,"M",NA,"JEONNAM (KOR)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"5132","Sheng Mu Lee","Taipei (Chinese Taipei)",25,1.79,71,"M",1986-03-10,"Taichung",0,0,0,0,"Badminton","Men's Doubles"
"5133","Sook-Ja Lee","Republic of Korea",32,1.75,58,"F",NA,"Incheon (KOR)",0,0,0,0,"Volleyball","Women's Volleyball"
"5134","Sung Jin Lee","Republic of Korea",27,1.65,60,"F",1985-07-03,"Chungnam",1,0,0,1,"Archery","Women's Individual, Women's Team"
"5135","Tae Hoon Lee","Republic of Korea",26,1.8,76,"M",NA,"Seoul (KOR)",0,0,0,0,"Sailing","Men's RS-X"
"5136","Wai Sze Lee","Hong Kong, China",25,1.6,54,"F",1987-12-05,"Hong Kong (HKG)",0,0,0,0,"Cycling - Road, Cycling - Track","Women's Road Race, Women's Sprint, Women's Keirin"
"5137","Yong Dae Lee","Republic of Korea",23,1.8,74,"M",1988-11-09,"Seoul",0,0,0,0,"Badminton","Men's Doubles, Mixed Doubles"
"5138","Johannah Leedham","Great Britain",24,1.78,76,"F",1987-05-12,"",0,0,0,0,"Basketball","Women's Basketball"
"5139","Miranda Leek","United States of America",19,1.63,75,"F",NA,"Des Moines",0,0,0,0,"Archery","Women's Individual, Women's Team"
"5140","Clement Lefert","France",24,1.85,68,"M",NA,"Nice (FRA)",1,1,0,2,"Swimming","Men's 100m Butterfly, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
"5141","Enzo Lefort","France",20,1.89,72,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil"
"5142","Christianne Legentil","Mauritius",20,1.54,52,"F",NA,"RODRIGUES (MRI)",0,0,0,0,"Judo","Women's -52kg"
"5143","Ugo Legrand","France",23,1.75,73,"M",NA,"MONT",0,0,1,1,"Judo","Men's -73kg"
"5144","Mosito Lehata","Lesotho",23,1.77,69,"M",1989-08-04,"HA MOIMA (LES)",0,0,0,0,"Athletics","Men's 200m"
"5145","Lauri Lehtinen","Finland",25,1.8,74,"M",NA,"Helsinki (FIN)",0,0,0,0,"Sailing","Men's 49er"
"5146","Silja Lehtinen","Finland",26,1.68,63,"F",1985-05-11,"Helsinki (FIN)",0,0,0,0,"Sailing","Women's Elliott 6m"
"5147","Sheng Lei","People's Republic of China",28,1.92,75,"M",1984-07-03,"",1,0,0,1,"Fencing","Men's Individual Foil, Men's Team Foil"
"5148","Mike Leigh","Canada",27,1.79,73,"M",NA,"NANAIMO (CAN)",0,0,0,0,"Sailing","Men's 470"
"5149","Fran Leighton","Great Britain",30,1.82,68,"F",NA,"",0,0,0,0,"Water Polo","Women's Water Polo"
"5150","Fabian Leimlehner","Austria",24,1.72,NA,"M",NA,"Liestal (SUI)",0,0,0,0,"Gymnastics - Artistic","Men's Qualification"
"5151","Janis Leitis","Latvia",23,1.9,75,"M",NA,"Riga (LAT)",0,0,0,0,"Athletics","Men's 400m"
"5152","Martin Leiva","Argentina",32,2.1,112,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"5153","Mate Lekai","Hungary",24,1.9,83,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"5154","Ana Lelas","Croatia",29,1.83,72,"F",1983-02-04,"",0,0,0,0,"Basketball","Women's Basketball"
"5155","Olga A. Leleyko","Ukraine",35,1.78,68,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Foil"
"5156","Christophe Lemaitre","France",22,1.9,74,"M",1990-11-06,"Annecy (FRA)",0,0,0,0,"Athletics","Men's 200m, Men's 4 x 100m Relay"
"5157","Braexir Lemboumba","Gabon",32,1.65,NA,"M",NA,"LIBREVILLE (GAB)",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"5158","Sandra Lemos","Colombia",23,1.7,102,"F",1989-01-01,"CALI (COL)",0,0,0,0,"Athletics","Women's Shot Put"
"5159","Ivan Lender","Serbia",22,1.88,86,"M",NA,"Zrenjanin (SRB)",0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 4x100m Freestyle Relay"
"5160","Andrea Lenders","Netherlands",31,1.63,NA,"F",NA,"Groningen (NED)",0,0,0,0,"Trampoline","Women's Trampoline"
"5161","Deon Lendore","Trinidad and Tobago",19,1.79,75,"M",NA,"Arima (TRI)",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"5162","Luke Lennon-Ford","Great Britain",23,1.83,75,"M",1989-05-05,"Sutton Coldfield (GBR)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"5163","Viktoriia Lenyshyn","Ukraine",21,1.74,NA,"F",NA,"Lviv (UKR)",0,0,0,0,"Gymnastics - Rhythmic","Group All-Around"
"5164","Mike Lenzly","Great Britain",31,1.89,85,"M",1981-01-05,"",0,0,0,0,"Basketball","Men's Basketball"
"5165","Mun Yee Leong","Malaysia",27,1.63,54,"F",1984-04-12,"PERAK (MAS)",0,0,0,0,"Diving","Women's Synchronised 10m Platform"
"5166","Carolin Leonhardt","Germany",27,1.74,65,"F",NA,"",0,0,0,0,"Canoe Sprint","Women's Kayak Four (K4) 500m"
"5167","Varvara Lepchenko","United States of America",26,1.78,70,"F",NA,"",0,0,0,0,"Tennis","Women's Singles"
"5168","Julia Lepke","Germany",22,1.8,69,"F",NA,"",0,0,0,0,"Rowing","Women's Eight"
"5169","Penelope Leprevost","France",32,1.75,55,"F",1980-01-08,"Rouen (FRA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, MYLORD CARTHAGO"
"5170","Florence Lepron","France",27,1.82,64,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"5171","Viktor Leptikov","Kazakhstan",25,1.96,80,"M",1987-02-07,"KYZYL ORDA (KAZ)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"5172","Sydney Leroux","United States of America",22,1.7,66,"F",1990-07-05,"",0,0,0,0,"Football","Women's Football"
"5173","Claire Leroy","France",32,1.65,67,"F",1980-09-03,"Nantes (FRA)",0,0,0,0,"Sailing","Women's Elliott 6m"
"5174","Emmanuel Leroy","Belgium",32,1.88,79,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"5175","Nataliya Leshchyk","Belarus",17,1.76,NA,"F",NA,"Minsk (BLR)",0,0,0,0,"Gymnastics - Rhythmic","Group All-Around"
"5176","Natalia Lesniak","Poland",21,1.65,74,"F",1991-10-07,"SUCHA BESKIDZKA",0,0,0,0,"Archery","Women's Individual"
"5177","Marie-Andree Lessard","Canada",34,1.68,61,"F",1977-06-12,"",0,0,0,0,"Beach Volleyball","Women's Beach Volleyball"
"5178","Justin Dashaun Lester","United States of America",28,1.7,73,"M",NA,"Akron (USA)",0,0,0,0,"Wrestling","Men's 66kg Greco-Roman"
"5179","Eloyse Lesueur","France",24,1.76,64,"F",NA,"CRETEIL (FRA)",0,0,0,0,"Athletics","Women's Long Jump"
"5180","Aleksander Lesun","Russian Federation",24,1.82,75,"M",1988-01-07,"MINSK REGION",0,0,0,0,"Modern Pentathlon","Men's Modern Pentathlon"
"5181","Joanna Leszczynska","Poland",23,1.83,76,"F",NA,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"5182","Laura Letrari","Italy",23,1.76,58,"F",1989-08-03,"Bressanone (ITA)",0,0,0,0,"Swimming","Women's 4x100m Freestyle Relay"
"5183","Yvonne Leuko Chibosso","Cameroon",20,1.7,60,"F",NA,"",0,0,0,0,"Football","Women's Football"
"5184","Katrin Leumann","Switzerland",30,1.74,54,"F",1982-08-02,"Basel (SUI)",0,0,0,0,"Cycling - Mountain Bike","Women's Cross-country"
"5185","Chu Yan Leung","Hong Kong, China",33,1.75,65,"M",NA,"Guangdong",0,0,0,0,"Table Tennis","Men's Team"
"5186","Chun Shek Leung","Hong Kong, China",26,1.79,75,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"5187","Ho Tsun Andy Leung","Hong Kong, China",21,1.77,75,"M",NA,"Hong Kong (HKG)",0,0,0,0,"Sailing","Men's RS-X"
"5188","Ka Ming Leung","Hong Kong, China",23,1.84,78,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Epee"
"5189","Yvonne Leuthold","Great Britain",32,1.76,74,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"5190","Amaury Leveaux","France",26,2.02,92,"M",1985-02-12,"Belfort (FRA)",1,1,0,2,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
"5191","Malin Levenstad","Sweden",23,1.65,56,"F",NA,"",0,0,0,0,"Football","Women's Football"
"5192","Brice Leverdez","France",26,1.8,75,"M",1986-09-04,"LA GARENNE COLOMBES",0,0,0,0,"Badminton","Men's Singles"
"5193","Caitlin Leverenz","United States of America",21,1.73,73,"F",NA,"Tucson (USA)",0,0,1,1,"Swimming","Women's 200m Individual Medley, Women's 400m Individual Medley"
"5194","Johnny Leveron","Honduras",22,1.65,65,"M",1990-07-02,"",0,0,0,0,"Football","Men's Football"
"5195","Julia Levina","Russian Federation",39,1.84,79,"F",1973-02-01,"",0,0,0,0,"Rowing","Women's Single Sculls"
"5196","Olga Levina","Russian Federation",27,1.78,70,"F",1985-04-03,"",0,0,0,0,"Handball","Women's Handball"
"5197","Nigel Levine","Great Britain",23,1.78,68,"M",NA,"San Fernando (TRI)",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"5198","Cameron Levins","Canada",23,1.78,65,"M",NA,"CAMPBELL RIVER (CAN)",0,0,0,0,"Athletics","Men's 5000m, Men's 10,000m"
"5199","Maximilian Levy","Germany",25,1.82,88,"M",NA,"Berlin (GER)",0,0,1,1,"Cycling - Track","Men's Keirin, Men's Team Sprint"
"5200","Sylwia Lewandowska","Poland",21,1.69,69,"F",1991-04-01,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"5201","Marcin Lewandowski","Poland",25,1.79,64,"M",NA,"Szczecin (POL)",0,0,0,0,"Athletics","Men's 800m"
"5202","Iain Lewers","Great Britain",28,1.83,79,"M",1984-05-01,"",0,0,0,0,"Hockey","Men's Hockey"
"5203","Andrew Lewis","Trinidad and Tobago",22,1.82,81,"M",NA,"Port of Spain (TRI)",0,0,0,0,"Sailing","Men's Laser"
"5204","Steven Lewis","Great Britain",26,1.91,84,"M",NA,"STOKE ON TRENT (GBR)",0,0,0,0,"Athletics","Men's Pole Vault"
"5205","Mark Lewis-Francis","Great Britain",29,1.8,95,"M",1982-04-09,"Birmingham (GBR)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"5206","Gia Lewis-Smallwood","United States of America",33,1.83,93,"F",1979-01-04,"Urbana (USA)",0,0,0,0,"Athletics","Women's Discus Throw"
"5207","Amandine Leynaud","France",26,1.78,64,"F",1986-02-05,"",0,0,0,0,"Handball","Women's Handball"
"5208","Danell Leyva","United States of America",20,1.7,NA,"M",NA,"CARDENAS (CUB)",0,0,1,1,"Gymnastics - Artistic","Men's Individual All-Around, Men's Team, Men's Qualification"
"5209","Jose Leyver","Mexico",26,1.64,52,"M",1985-12-11,"NANCHITAL DE LAZARO CARDENAS (MEX)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"5210","Jason Lezak","United States of America",36,1.93,98,"M",1975-12-11,"Bellflower (USA)",0,1,0,1,"Swimming","Men's 4x100m Freestyle Relay"
"5211","Dongxiao Li","People's Republic of China",24,1.74,60,"F",NA,"Jilin (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"5212","Guojie Li","People's Republic of China",26,1.88,85,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Epee"
"5213","Hongxia Li","People's Republic of China",25,1.68,60,"F",1986-10-09,"Liaoning (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"5214","Jianbo Li","People's Republic of China",25,1.74,60,"M",NA,"Yunnan (CHN)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"5215","Jiao Li","Netherlands",39,1.67,57,"F",NA,"QINGDAO CITY",0,0,0,0,"Table Tennis","Women's Singles, Women's Team"
"5216","Jiawei Li","Singapore",30,1.72,60,"F",1981-09-08,"Beijing",0,0,0,0,"Table Tennis","Women's Team"
"5217","Jiaxing Li","People's Republic of China",22,1.75,65,"F",NA,"Hubei (CHN)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"5218","Jie Li","Netherlands",28,1.66,51,"F",1984-06-03,"SICHUAN",0,0,0,0,"Table Tennis","Women's Singles, Women's Team"
"5219","Jingjing Li","People's Republic of China",27,1.7,55,"F",1985-01-02,"FUJIAN (CHN)",0,0,0,0,"Canoe Slalom","Women's Kayak (K1)"
"5220","Jinzhe Li","People's Republic of China",22,1.92,78,"M",1989-01-09,"Beijing (CHN)",0,0,0,0,"Athletics","Men's Long Jump"
"5221","Jinzi Li","People's Republic of China",22,1.76,NA,"F",1990-04-03,"Heilongjiang (CHN)",0,0,0,0,"Boxing","Women's Middle (75kg)"
"5222","Jun Li","People's Republic of China",26,1.82,76,"M",NA,"Shanghai (CHN)",0,0,0,0,"Shooting","Men's Double Trap"
"5223","Ling Li","People's Republic of China",27,1.81,110,"F",1985-07-02,"Liaoning (CHN)",0,0,0,0,"Athletics","Women's Shot Put"
"5224","Ling Li","People's Republic of China",23,1.8,59,"F",1989-06-07,"HENAN (CHN)",0,0,0,0,"Athletics","Women's Pole Vault"
"5225","Ling Li","People's Republic of China",26,1.68,60,"F",NA,"Shandong (CHN)",0,0,0,0,"Sailing","Women's RS-X"
"5226","Lingwei Li","People's Republic of China",23,1.74,70,"F",NA,"Shandong (CHN)",0,0,0,0,"Athletics","Women's Javelin Throw"
"5227","Michele Li","Canada",20,1.7,64,"F",1991-03-11,"Hong Kong",0,0,0,0,"Badminton","Women's Singles, Women's Doubles"
"5228","Na Li","People's Republic of China",31,1.77,67,"F",1981-09-03,"",0,0,0,0,"Fencing","Women's Individual Epee, Women's Team Epee"
"5229","Na Li","People's Republic of China",30,1.72,67,"F",NA,"",0,0,0,0,"Tennis","Women's Singles, Women's Doubles"
"5230","Peijing Li","People's Republic of China",23,1.57,50,"F",NA,"Shaanxi (CHN)",0,0,0,0,"Shooting","Women's 50m Rifle 3 Positions"
"5231","Qian Li","Poland",26,1.6,53,"F",NA,"Baoding",0,0,0,0,"Table Tennis","Women's Singles, Women's Team"
"5232","Qiang Li","People's Republic of China",23,1.86,84,"M",1989-04-01,"Liaoning (CHN)",0,0,0,0,"Canoe Sprint","Men's Canoe Single (C1) 200m, Men's Canoe Double (C2) 1000m"
"5233","Qiangbing Li","Austria",27,1.66,51,"F",NA,"PEKING",0,0,0,0,"Table Tennis","Women's Singles, Women's Team"
"5234","Shanshan Li","People's Republic of China",25,1.77,70,"F",1987-03-03,"",0,0,0,0,"Basketball","Women's Basketball"
"5235","Shujin Li","People's Republic of China",30,1.64,55,"M",1982-01-08,"JIANGXI (CHN)",0,0,0,0,"Wrestling","Men's 55kg Greco-Roman"
"5236","Wen-Hua Li","Taipei (Chinese Taipei)",22,1.8,130,"F",1989-03-12,"KAOHSIUNG CITY (TPE)",0,0,0,0,"Athletics","Women's Discus Throw"
"5237","Xiaoxia Li","People's Republic of China",24,1.74,65,"F",NA,"Liaoning",1,0,0,1,"Table Tennis","Women's Singles, Women's Team"
"5238","Xiayan Li","People's Republic of China",22,1.99,98,"M",NA,"Yunnan (CHN)",0,0,0,0,"Swimming","Men's 100m Breaststroke, Men's 4x100m Medley Relay"
"5239","Xuanxu Li","People's Republic of China",18,1.65,55,"F",1994-05-02,"HUNAN (CHN)",0,0,1,1,"Swimming","Women's 400m Freestyle, Women's 400m Individual Medley"
"5240","Xue Li","France",27,1.65,64,"F",NA,"BOSHAN DE ZIBO SH.",0,0,0,0,"Table Tennis","Women's Singles"
"5241","Xuerui Li","People's Republic of China",21,1.7,60,"F",NA,"Chongqing",0,0,0,0,"Badminton","Women's Singles"
"5242","Xueying Li","People's Republic of China",22,1.61,58,"F",NA,"HENAN",1,0,0,1,"Weightlifting","Women's 58kg"
"5243","Yanfeng Li","People's Republic of China",33,1.79,93,"F",NA,"Heilongjiang (CHN)",0,0,0,0,"Athletics","Women's Discus Throw"
"5244","Yanmei Li","People's Republic of China",22,1.72,56,"F",1990-06-02,"Guangdong (CHN)",0,0,0,0,"Athletics","Women's Triple Jump"
"5245","Yunqi Li","People's Republic of China",18,1.93,82,"M",NA,"HENAN (CHN)",0,0,1,1,"Swimming","Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
"5246","Zhangli Li","People's Republic of China",24,1.75,74,"F",NA,"",0,0,0,0,"Canoe Sprint","Women's Kayak Four (K4) 500m"
"5247","Zhenzhu Li","People's Republic of China",26,1.68,52,"F",NA,"Nei Monggol (CHN)",0,0,0,0,"Athletics","Women's 3000m Steeplechase"
"5248","Zhilong Li","People's Republic of China",24,1.8,70,"M",1988-09-03,"Beijing (CHN)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"5249","Zicheng Li","People's Republic of China",22,1.72,55,"M",1990-10-04,"Shandong (CHN)",0,0,0,0,"Athletics","Men's Marathon"
"5250","Nioun Chin Elodie Li Yuk Lo","Mauritius",29,1.73,74,"F",NA,"",0,0,0,0,"Beach Volleyball","Women's Beach Volleyball"
"5251","Vadzim Lialin","Belarus",29,1.99,101,"M",NA,"",0,0,0,0,"Rowing","Men's Four"
"5252","Jiahong Liang","People's Republic of China",24,1.84,84,"M",1988-06-03,"Guangdong (CHN)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"5253","Jing Liang","People's Republic of China",27,1.72,60,"F",1985-04-01,"Shandong (CHN)",0,0,0,0,"Cycling - Track","Women's Team Pursuit"
"5254","Lei Liang","People's Republic of China",30,2,120,"M",1982-03-04,"SHANXI (CHN)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"5255","Meiyu Liang","People's Republic of China",18,1.66,65,"F",1994-08-01,"Jilin (CHN)",0,0,0,0,"Hockey","Women's Hockey"
"5256","Hanna Liapeshka","Belarus",27,1.68,65,"F",NA,"Brest (BLR)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"5257","Linus Lichtschlag","Germany",23,1.88,72,"M",1988-04-09,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"5258","Marlon Licona","Honduras",21,1.64,55,"M",1991-09-02,"",0,0,0,0,"Football","Men's Football"
"5259","Jimmy Lidberg","Sweden",30,1.91,96,"M",NA,"Farsta (SWE)",0,0,0,0,"Wrestling","Men's 96kg Greco-Roman"
"5260","Anders Lie","Denmark",21,1.86,70,"M",1991-11-04,"FREDERIKSBERG (DEN)",0,0,0,0,"Swimming","Men's 4x200m Freestyle Relay"
"5261","Luis Ygnacio Liendo","Venezuela",31,1.72,60,"M",NA,"Caracas (VEN)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"5262","Alexandre Liess","Switzerland",21,1.81,75,"M",NA,"Genzzzve (SUI)",0,0,0,0,"Swimming","Men's 200m Butterfly"
"5263","Roeland Lievens","Netherlands",29,1.89,71,"M",1983-01-07,"",0,0,0,0,"Rowing","Men's Lightweight Four"
"5264","Daniel Ligeti","Hungary",23,1.92,115,"M",NA,"Szombathely (HUN)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"5265","Nina Lamsam Ligon","Thailand",20,1.64,58,"F",1991-08-10,"BANGKOK (THA)",0,0,0,0,"Equestrian","Individual Eventing, BUTTS LEON"
"5266","Sarah Lihan","United States of America",23,1.85,73,"F",NA,"Fort Lauderdale (USA)",0,0,0,0,"Sailing","Women's 470"
"5267","Martin Liivamagi","Estonia",24,1.85,85,"M",1988-05-07,"Tallinn (EST)",0,0,0,0,"Swimming","Men's 100m Breaststroke, Men's 200m Individual Medley"
"5268","Bastiaan Lijesen","Netherlands",21,1.96,82,"M",NA,"NIEUWERKERK IJSSEL (NED)",0,0,0,0,"Swimming","Men's 100m Backstroke"
"5269","Savva Lika","Greece",42,1.68,73,"F",NA,"KORITSA (ALB)",0,0,0,0,"Athletics","Women's Javelin Throw"
"5270","Aliaksei Likhacheuski","Belarus",22,1.89,86,"M",1990-06-28,"",0,0,0,0,"Fencing","Men's Team Sabre"
"5271","Maria Liku","Fiji",22,1.58,61,"F",NA,"LEVUKA",0,0,0,0,"Weightlifting","Women's 63kg"
"5272","Anderson Chee Wei Lim","Brunei Darussalam",16,1.66,62,"M",NA,"BANDAR SERI BEGAWAN (BRU)",0,0,0,0,"Swimming","Men's 200m Freestyle"
"5273","Duk-Jun Lim","Republic of Korea",31,1.86,78,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"5274","Heem Wei Lim","Singapore",23,1.51,NA,"F",1989-12-04,"Singapore (SIN)",0,0,0,0,"Gymnastics - Artistic","Women's Qualification"
"5275","Hyo-Sook Lim","Republic of Korea",30,1.78,79,"F",NA,"BUSAN (KOR)",0,0,0,0,"Volleyball","Women's Volleyball"
"5276","Jihye Lim","Republic of Korea",26,1.63,75,"F",NA,"Gangwon",0,0,0,0,"Weightlifting","Women's 75kg"
"5277","Kyung-Hee Lim","Republic of Korea",29,1.65,45,"F",NA,"Gyeonggi (KOR)",0,0,0,0,"Athletics","Women's Marathon"
"5278","Lynette Lim","Singapore",20,1.66,59,"F",NA,"LOMA LINDA (USA)",0,0,0,0,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle"
"5279","Sergey Lim","Kazakhstan",24,1.64,66,"M",NA,"Almaty (KAZ)",0,0,0,0,"Judo","Men's -66kg"
"5280","Dipna Lim Prasad","Singapore",21,1.74,54,"F",1991-07-06,"Singapore (SIN)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"5281","Felipe Lima","Brazil",27,NA,NA,"M",1985-05-04,"CUIABA (BRA)",0,0,0,0,"Swimming","Men's 100m Breaststroke, Men's 4x100m Medley Relay"
"5282","Gustavo Lima","Portugal",35,1.85,86,"M",NA,"Rio De Janeiro (BRA)",0,0,0,0,"Sailing","Men's Laser"
"5283","Christopher Lima da Costa","Sao Tome and Principe",24,1.75,62,"M",NA,"LIBREVILLE",0,0,0,0,"Athletics","Men's 100m"
"5284","Ruben Limardo Gascon","Venezuela",27,1.75,80,"M",1985-03-08,"",1,0,0,1,"Fencing","Men's Individual Epee"
"5285","Nicolas Limbach","Germany",26,1.95,91,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre"
"5286","Chia-En Lin","Taipei (Chinese Taipei)",19,1.66,55,"F",1993-02-06,"HSINCHU",0,0,0,0,"Archery","Women's Individual, Women's Team"
"5287","Chia-Ying Lin","Taipei (Chinese Taipei)",29,1.68,89,"F",1982-05-11,"Taichung (TPE)",0,0,0,0,"Athletics","Women's Shot Put"
"5288","Ching-Hsuan Lin","Taipei (Chinese Taipei)",20,1.68,60,"M",NA,"TAOYUAN (TPE)",0,0,0,0,"Athletics","Men's Long Jump"
"5289","Dan Lin","People's Republic of China",28,1.76,68,"M",NA,"FUJIAN",0,0,0,0,"Badminton","Men's Singles"
"5290","Ju Lin","Dominican Republic",32,1.73,79,"M",1979-01-09,"FUJIAN",0,0,0,0,"Table Tennis","Men's Singles"
"5291","Po Heung Lin","Hong Kong, China",27,1.63,62,"F",1985-02-05,"",0,0,0,0,"Fencing","Women's Individual Foil"
"5292","Qingfeng Lin","People's Republic of China",23,1.67,68,"M",NA,"FUJIAN",1,0,0,1,"Weightlifting","Men's 69kg"
"5293","Yi Chun Lin","Taipei (Chinese Taipei)",31,1.61,70,"F",1981-05-07,"TOAYUAN (TPE)",0,0,0,0,"Shooting","Women's Trap"
"5294","Yue Lin","People's Republic of China",21,1.63,53,"M",NA,"Guangdong (CHN)",0,0,0,0,"Diving","Men's 10m Platform"
"5295","Dace Lina","Latvia",30,1.62,53,"F",1981-01-12,"BAUSKA (LAT)",0,0,0,0,"Athletics","Women's Marathon"
"5296","Carlos Daniel Linarez Zambrano","Venezuela",20,1.8,80,"M",1991-05-09,"Barquisimeto (VEN)",0,0,0,0,"Cycling - Track","Men's Omnium"
"5297","Holly Lincoln-Smith","Australia",24,1.83,82,"F",NA,"Sydney (AUS)",0,0,0,0,"Water Polo","Women's Water Polo"
"5298","Caroline Lind","United States of America",29,1.83,82,"F",1982-11-10,"",1,0,0,1,"Rowing","Women's Eight"
"5299","Hedvig Lindahl","Sweden",29,1.79,74,"F",NA,"",0,0,0,0,"Football","Women's Football"
"5300","Niklas Lindback","Sweden",38,1.85,85,"M",1974-02-03,"BORRINGE (SWE)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, MISTER POOH"
"5301","Anna Lindberg","Sweden",30,1.69,58,"F",NA,"KARLSKOGA (SWE)",0,0,0,0,"Diving","Women's 3m Springboard"
"5302","Hans Lindberg","Denmark",31,1.88,88,"M",1981-01-08,"",0,0,0,0,"Handball","Men's Handball"
"5303","Johan Linde","Australia",29,1.98,NA,"M",NA,"ROSE PARK (AUS)",0,0,0,0,"Boxing","Men's Super Heavy (+91kg)"
"5304","Janin Lindenberg","Germany",25,1.73,60,"F",NA,"Berlin (GER)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"5305","Mattias Lindfors","Finland",23,1.84,82,"M",1989-12-04,"Helsinki (FIN)",0,0,0,0,"Sailing","Men's Laser"
"5306","Joonas Lindgren","Finland",26,1.7,64,"M",NA,"Helsinki (FIN)",0,0,0,0,"Sailing","Men's 470"
"5307","Niklas Lindgren","Finland",24,1.77,71,"M",NA,"Helsinki (FIN)",0,0,0,0,"Sailing","Men's 470"
"5308","Mikaela Lindh","Finland",42,1.64,54,"F",NA,"ABO (FIN)",0,0,0,0,"Equestrian","Individual Dressage, MAS GUAPO"
"5309","Cameron Lindsay","New Zealand",19,1.79,77,"M",NA,"",0,0,0,0,"Football","Men's Football"
"5310","Lori Lindsey","United States of America",32,1.68,64,"F",NA,"",0,0,0,0,"Football","Women's Football"
"5311","Robert Lindstedt","Sweden",35,1.92,89,"M",NA,"",0,0,0,0,"Tennis","Men's Doubles, Mixed Doubles"
"5312","Edward Ling","Great Britain",29,1.78,76,"M",1983-07-03,"Taunton (GBR)",0,0,0,0,"Shooting","Men's Trap"
"5313","Christopher Linke","Germany",23,1.9,65,"M",NA,"Potsdam (GER)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"5314","Danielle Lins","Brazil",27,1.83,73,"F",1985-05-01,"",0,0,0,0,"Volleyball","Women's Volleyball"
"5315","Pia Lionetti","Italy",25,1.61,58,"F",NA,"SAN GIOVANNI ROTONDO",0,0,0,0,"Archery","Women's Individual, Women's Team"
