total_cup_points,species,owner,country_of_origin,farm_name,mill,company,altitude,region,producer,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
82.83,Arabica,samuel muhirwa,Rwanda,gicumbi,coffee business center (cbc) dry mill,bufcoffee ltd,1900,gicumbi,Bufcoffee_Gicumbi,Specialty Coffee Association,2015,"March 25th, 2016",Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11,0,0,Bluish-Green,0,"March 25th, 2017",Specialty Coffee Association,m,1900,1900,1900
82.83,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,apollo estate,"sunvirtue co., ltd.",1040,vietnam tutra,"Yeh, Li Chuan",Specialty Coffee Association,2014,"January 19th, 2016",Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11,11,0,Green,0,"January 18th, 2017",Specialty Coffee Association,m,1040,1040,1040
82.83,Arabica,juan luis alvarado romero,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",4000psn,oriente,AMILCAR LAPOLA,Asociacion Nacional Del Café,2015,"July 20th, 2015",Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11,0,0,Green,2,"July 19th, 2016",Asociacion Nacional Del Café,ft,1219.2,1219.2,1219.2
82.83,Arabica,cafebras,Brazil,santa fé 2,via seca,cafebras comercio de cafés do brasil sa,900,cerrado,Antonio Batista Francisquine,Brazil Specialty Coffee Association,2015,"May 26th, 2015",Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12,2,0,Green,6,"May 25th, 2016",Brazil Specialty Coffee Association,m,900,900,900
82.83,Arabica,essencecoffee,Colombia,NA,NA,essence coffee,1200-2000m,huila,Mercedes Narvaez,Blossom Valley International,2014,"March 21st, 2015",Other,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,0,0,0,NA,1,"March 20th, 2016",Blossom Valley International,m,1200,2000,1600
82.83,Arabica,joshua marsceau,United States,"kampung keling, jumaraj, gurusinga, gongsol",pt. olam indonesia,olam specialty coffee,1200 m,berastagi,PT. Olam Indonesia,Specialty Coffee Association,2014,"February 20th, 2015",Other,Other,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,0,0,0,NA,9,"February 20th, 2016",Specialty Coffee Association,m,1200,1200,1200
82.83,Arabica,juan luis alvarado romero,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",Asociacion Nacional Del Café,2014,"March 24th, 2014",Bourbon,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1,0,0,Green,4,"March 24th, 2015",Asociacion Nacional Del Café,m,1500,1500,1500
82.83,Arabica,"coffeebythebag.com , inc",Colombia,NA,trilladora picaleña,"coffeebythebag.com , inc.",1800 mts,santander,Mrs. Galeano,Almacafé,2013,"January 20th, 2014",Typica,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0,4,0,Green,4,"January 20th, 2015",Almacafé,m,1800,1800,1800
82.83,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,Almacafé,2013,"May 10th, 2013",Caturra,Washed / Wet,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,0.11,0,0,Green,3,"May 10th, 2014",Almacafé,m,1600,1950,1775
82.83,Arabica,edwin agasso,"Tanzania, United Republic Of",burka coffee estate,rafiki (coffee) limited,tcb,1400 meter above sea level,arusha,BURKA COFFEE ESTATE,Tanzanian Coffee Board,2012,"April 19th, 2013",Arusha,Washed / Wet,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,0.11,0,0,Green,5,"April 19th, 2014",Tanzanian Coffee Board,m,1400,1400,1400
82.83,Arabica,armando luis pohlenz martinez,Mexico,NA,finca custepec,beneficio custepec s.a. de c.v.,1550,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,AMECAFE,2012,"August 30th, 2012",Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,0.12,2,0,Green,10,"August 30th, 2013",AMECAFE,m,1550,1550,1550
82.83,Arabica,alfredo bojalil,Mexico,santa rosa,NA,ecomtrading,1250,veracruz,OLIVIA HERNANDEZ VIRUES,AMECAFE,2012,"July 11th, 2012",Bourbon,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,0.12,0,0,Blue-Green,7,"July 11th, 2013",AMECAFE,m,1250,1250,1250
82.83,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,Asociacion Nacional Del Café,2012,"July 9th, 2012",Bourbon,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,0.11,0,0,Green,10,"July 9th, 2013",Asociacion Nacional Del Café,ft,1310.64,1310.64,1310.64
82.83,Arabica,alfredo bojalil,Mexico,finca nueva linda,agroindustrias unidas de mexico,ecomtrading,1380,la concordia,OCTAVIO MOGUEL FARRERA,AMECAFE,2012,"June 6th, 2012",Typica,Washed / Wet,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,0.11,0,0,NA,2,"June 6th, 2013",AMECAFE,m,1380,1380,1380
82.83,Arabica,the coffee source inc.,El Salvador,several farms,la majada cooperative,NA,1200 mts,santa ana,La Majada Cooperative,Specialty Coffee Association,2010-2011,"August 23rd, 2011",NA,NA,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,0,1,0,NA,3,"August 22nd, 2012",Specialty Coffee Association,m,1200,1200,1200
82.75,Arabica,juan luis alvarado romero,Guatemala,providencia,beneficio 2000,inmobiliaria e inversiones dos mil s.a.,1100,santa rosa,PLANTACIONES AGROPECUARIAS S.A,Asociacion Nacional Del Café,NA,"January 9th, 2018",Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,7.5,0.1,0,1,Green,3,"January 9th, 2019",Asociacion Nacional Del Café,m,1100,1100,1100
82.75,Arabica,juan luis alvarado romero,Guatemala,linda vista,linda vista,mercon guatemala s.a.,1800,santa rosa,PABLO ARTURO CHUY FLORES,Asociacion Nacional Del Café,2017,"October 17th, 2017",Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,0.11,0,0,Green,8,"October 17th, 2018",Asociacion Nacional Del Café,m,1800,1800,1800
82.75,Arabica,juan luis alvarado romero,Guatemala,las merceditas,beneficio ixchel,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,Asociacion Nacional Del Café,2017,"September 19th, 2017",Bourbon,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,0.11,0,0,Green,4,"September 19th, 2018",Asociacion Nacional Del Café,m,1700,1700,1700
82.75,Arabica,juan luis alvarado romero,Guatemala,las delicias,beneficio ixchel,"unex guatemala, s.a.",4000,santa rosa,OTTO BECKER,Asociacion Nacional Del Café,2017,"September 8th, 2017",Bourbon,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,0.1,0,0,Green,1,"September 8th, 2018",Asociacion Nacional Del Café,ft,1219.2,1219.2,1219.2
82.75,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,beneficio ixchel,"unex guatemala, s.a.",4000,oriente,JESUS RAMIREZ,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Bourbon,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,0.1,0,0,Green,1,"August 22nd, 2018",Asociacion Nacional Del Café,ft,1219.2,1219.2,1219.2
82.75,Arabica,sanjava coffee,Indonesia,various,sapan toraja,pt. shriya artha nusantara,1500,sapan toraja,vary farm,Specialty Coffee Association of Indonesia,2017,"August 8th, 2017",Sulawesi,Other,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,0.12,0,0,Blue-Green,15,"August 8th, 2018",Specialty Coffee Association of Indonesia,m,1500,1500,1500
82.75,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,beneficio ixchel,"unex guatemala, s.a.",518,el progreso,JESUS RAMIREZ,Asociacion Nacional Del Café,2017,"June 1st, 2017",Bourbon,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,0.12,0,0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,ft,157.8864,157.8864,157.8864
82.75,Arabica,"lin, che-hao krude 林哲豪",Taiwan,大鋤花間 (hoe vs. flower coffee farm),大鋤花間 (hoe vs. flower coffee farm),taiwan coffee laboratory,650,"台南市東山區( dongshan dist., tainan city)","林俊吉( Lin, Chun-Chi)",Specialty Coffee Association,2016,"June 1st, 2017",Yellow Bourbon,Natural / Dry,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,0,0,0,Green,0,"June 1st, 2018",Specialty Coffee Association,m,650,650,650
82.75,Arabica,consejo salvadoreño del café,El Salvador,la montaña,soc. coop. de caf. de ciudad barrios de r.l.,soc. coop. de caf. de ciudad barrios de r.l.,1250,cacahuatique,Soc. Coop. de Caf. de Ciudad Barrios de R.L.,Salvadoran Coffee Council,2017,"May 8th, 2017",Bourbon,Washed / Wet,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,0,0,0,NA,4,"May 8th, 2018",Salvadoran Coffee Council,m,1250,1250,1250
82.75,Arabica,"ceca, s.a.",Costa Rica,gamboa,beneficio montañas del diamante,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,Specialty Coffee Association of Costa Rica,2016,"April 28th, 2017",Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09,0,0,Bluish-Green,1,"April 28th, 2018",Specialty Coffee Association of Costa Rica,m,1850,1850,1850
82.75,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,Instituto Hondureño del Café,2017,"April 6th, 2017",Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09,0,1,Green,6,"April 6th, 2018",Instituto Hondureño del Café,m,1400,1400,1400
82.75,Arabica,ipanema coffees,Brazil,capoeirinha,dry mill,ipanema coffees,905,south of minas,Ipanema Agricola,Brazil Specialty Coffee Association,2015,"April 25th, 2016",Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11,0,2,Bluish-Green,1,"April 25th, 2017",Brazil Specialty Coffee Association,m,905,905,905
82.75,Arabica,yunnan coffee exchange,China,man ganna estate,"puwen lvyou coffee co.,ltd",yunnan coffee exchange,1100,yunnan,"Puwen Lvyou Coffee Co.,Ltd",Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,m,1100,1100,1100
82.75,Arabica,yunnan coffee exchange,China,pu'er lingdu yunlin coffee co.ltd,pu'er lingdu yunlin coffee co.ltd mill,yunnan coffee exchange,1500,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,Yunnan Coffee Exchange,2015,"April 5th, 2016",Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,m,1500,1500,1500
82.75,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,Almacafé,2014,"November 7th, 2014",Caturra,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0,0,0,Blue-Green,2,"November 7th, 2015",Almacafé,m,1600,1950,1775
82.75,Arabica,afca,Malawi,msese,mzuzu coffee coop union,mzuzu coffee planters coop union,1442 m,mzuzu,Mzuzu Coffee Planters Coop Union,Africa Fine Coffee Association,2014,"November 4th, 2014",Gesha,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12,0,0,Bluish-Green,0,"November 4th, 2015",Africa Fine Coffee Association,m,1442,1442,1442
82.75,Arabica,juan luis alvarado romero,Guatemala,el morito,el morito,"armajaro guatemala, s. a.",5000 ft.,jalapa,ROBERTO MONTERROSO,Asociacion Nacional Del Café,2014,"June 16th, 2014",Pacas,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,0.13,0,0,Green,2,"June 16th, 2015",Asociacion Nacional Del Café,ft,1524,1524,1524
82.75,Arabica,coffee export,Colombia,NA,trilladora mercedes,coffee export,1.65,huila,NA,Almacafé,2014,"May 27th, 2014",Typica,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,0.12,0,0,Green,0,"May 27th, 2015",Almacafé,m,165,165,165
82.75,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2013,"February 5th, 2014",Hawaiian Kona,Natural / Dry,7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,7.42,0.1,6,0,Blue-Green,0,"February 5th, 2015",Specialty Coffee Association,ft,NA,NA,NA
82.75,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2013,"February 4th, 2014",Hawaiian Kona,Natural / Dry,7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,7.75,0.1,0,0,Green,0,"February 4th, 2015",Specialty Coffee Association,ft,NA,NA,NA
82.75,Arabica,the coffee source inc.,Colombia,several,antioquia,the coffee source inc.,1300,antioquia,several,Specialty Coffee Association of Costa Rica,2013,"January 21st, 2014",Caturra,Washed / Wet,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,0.1,0,0,Green,2,"January 21st, 2015",Specialty Coffee Association of Costa Rica,m,1300,1300,1300
82.75,Arabica,nestor mendez gomez,Mexico,san lorenzo,algel de albino de corzo,cesmach s.c.,1550,chiapas,CARLOS O. VELAZCO LOPEZ,AMECAFE,2013,"March 29th, 2013",Typica,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,0.12,0,0,Green,6,"March 29th, 2014",AMECAFE,m,1550,1550,1550
82.75,Arabica,sergio de la vequia bernardi,Mexico,tlamatoca,cafetalera la cuchilla,NA,1200,veracruz,FRANCISCO R. DE LA VEQUIA BERNARDI,AMECAFE,2012,"July 11th, 2012",Typica,Washed / Wet,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,0.12,0,0,NA,0,"July 11th, 2013",AMECAFE,m,1200,1200,1200
82.75,Arabica,romulo bello flores,Mexico,NA,NA,cafe shunuc,1200,atoyac de alvarez,ROMULO BELLO FLORES,AMECAFE,2012,"June 6th, 2012",Typica,Natural / Dry,8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,0.12,1,0,NA,4,"June 6th, 2013",AMECAFE,m,1200,1200,1200
82.75,Arabica,NA,Colombia,supply chain ecom cca s.a.,south huila,ecom cca s.a.,1400 thru 1850,south huila,Supply Chain ECOM CCA S.A.,Almacafé,2012,"April 11th, 2012",Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,0,0,0,Blue-Green,0,"April 11th, 2013",Almacafé,m,1400,1850,1625
82.75,Arabica,racafe & cia s.c.a,Colombia,NA,NA,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,Almacafé,2012,"March 5th, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,0.11,0,0,Green,3,"March 5th, 2013",Almacafé,m,1600,1950,1775
82.75,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,cqi,NA,kona,NA,Specialty Coffee Association,2012,"February 23rd, 2012",Hawaiian Kona,Washed / Wet,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,7.75,0.12,0,0,Green,0,"February 22nd, 2013",Specialty Coffee Association,ft,NA,NA,NA
82.75,Arabica,rachel peterson,Panama,hacienda la esmeralda,hacienda la esmeralda,hacienda la esmeralda,1100,boquete,Price Peterson,Specialty Coffee Association,2012,"February 23rd, 2012",Catuai,Washed / Wet,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,0,0,0,Green,4,"February 22nd, 2013",Specialty Coffee Association,m,1100,1100,1100
82.75,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,kona,NA,Specialty Coffee Association,NA,"June 29th, 2010",NA,NA,7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,7.42,0,0,0,NA,2,"June 29th, 2011",Specialty Coffee Association,ft,NA,NA,NA
82.67,Arabica,ipanema coffees,Brazil,capoeirinha,dry mill,ipanema coffees,890,south of minas,Ipanema Agricola S.A,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,0,0,0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,m,890,890,890
82.67,Arabica,ipanema coffees,Brazil,capoeirinha,dry mill,ipanema coffees,934,south of minas,Ipanema Agricola,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,0.11,0,2,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,m,934,934,934
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Laos,savan coffee bean,non,宸嶧國際,1300,"paksong,laos","Paksong,Laos",Blossom Valley International,2015,"June 2nd, 2016",Catimor,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,0.13,0,0,Bluish-Green,0,"June 2nd, 2017",Blossom Valley International,m,1300,1300,1300
82.67,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,santa adelaida,consejo salvadoreño del café,1200,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",Salvadoran Coffee Council,2016,"March 29th, 2016",Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,0,0,0,Green,7,"March 29th, 2017",Salvadoran Coffee Council,m,1200,1200,1200
82.67,Arabica,josé luis rojas yeo,Mexico,gabriel bernard rivas ross,beneficio dos puentes,finca kassandra,1300,veracruz,Finca Kassandra,Centro Agroecológico del Café A.C.,2016,"February 25th, 2016",NA,NA,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,0.11,0,2,Green,3,"February 24th, 2017",Centro Agroecológico del Café A.C.,m,1300,1300,1300
82.67,Arabica,federacion nacional de cafeteros,Colombia,NA,NA,federacion nacional de cafeteros,NA,huila,NA,Almacafé,2015,"November 3rd, 2015",NA,Washed / Wet,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,7.42,0,1,0,Green,9,"November 2nd, 2016",Almacafé,m,NA,NA,NA
82.67,Arabica,ipanema coffees,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,1,south of minas,Ipanema Agrícola SA,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Yellow Bourbon,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,m,1,1,1
82.67,Arabica,bourbon specialty coffees,Brazil,santa maria,NA,bourbon specialty coffees,NA,monte carmelo,MANOEL CARDOSO AND GALILEO CARDOSO,Brazil Specialty Coffee Association,2014,"January 15th, 2015",Catuai,Natural / Dry,7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,0.12,0,0,NA,9,"January 15th, 2016",Brazil Specialty Coffee Association,m,NA,NA,NA
82.67,Arabica,nitin coffee estate,"Tanzania, United Republic Of",nitin,nitin coffee estate,nitin coffee estate,1700,karatu arusha,Nitin Coffee Estate,Africa Fine Coffee Association,2014,"December 18th, 2014",Other,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,0.12,0,0,Green,0,"December 18th, 2015",Africa Fine Coffee Association,m,1700,1700,1700
82.67,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",ampcg,taylor winch (t) ltd,taylor winch (t) ltd,1550,mbinga,Taylor Winch (T) ltd,Africa Fine Coffee Association,2014,"December 15th, 2014",Bourbon,Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,0.12,0,0,Green,4,"December 15th, 2015",Africa Fine Coffee Association,m,1550,1550,1550
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,伊娜咖啡莊園,伊娜咖啡莊園,宸嶧國際,1200公尺,嘉義阿里山,林道明,Blossom Valley International,2014,"November 23rd, 2014",Typica,Washed / Wet,8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,0.08,0,0,Green,0,"November 23rd, 2015",Blossom Valley International,m,1200,1200,1200
82.67,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los llanitos,la yerba,productos y servicios chilindron s.a. de c.v.,1296,la yerba,AVELINO CHAVEZ REYNA,AMECAFE,2014,"August 15th, 2014",Typica,Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,0.11,0,0,Green,0,"August 15th, 2015",AMECAFE,m,1296,1296,1296
82.67,Arabica,kawacom uganda ltd,Uganda,bugisu shamba,kawacom,afca,1400- 1900,mt elgon,Kawacom Uganda Ltd,Uganda Coffee Development Authority,2013,"June 25th, 2014",SL14,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,0.12,0,0,Green,0,"June 25th, 2015",Uganda Coffee Development Authority,m,1400,1900,1650
82.67,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,zhuo wu shan coffee 卓武山咖啡農場,zhuo wu shan coffee 卓武山咖啡農場,blossom valley宸嶧國際,1240 m,chiayi alishan 嘉義縣阿里山鄉,Xu ding ye 許定燁,Blossom Valley International,2013/2014,"December 26th, 2013",Typica,Washed / Wet,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,m,1240,1240,1240
82.67,Arabica,松澤宏樹 koju matsuzawa,Thailand,m10,m10,"coffeas co., ltd",1500,phahi,Koju Matsuzawa,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Caturra,Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,0.11,0,0,Bluish-Green,0,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,1500,1500,1500
82.67,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,1800 msnm,huila,NA,Almacafé,2012,"January 22nd, 2013",Caturra,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,0.11,0,0,Bluish-Green,3,"January 22nd, 2014",Almacafé,m,1800,1800,1800
82.67,Arabica,adam kline,El Salvador,NA,NA,atlantic specialty coffee,NA,NA,NA,Specialty Coffee Association,2012,"August 17th, 2012",Other,Washed / Wet,7.92,8,7.5,6.75,7.92,7.58,10,10,9.33,7.67,0,0,0,None,17,"August 17th, 2013",Specialty Coffee Association,m,NA,NA,NA
82.67,Arabica,juan luis alvarado romero,Guatemala,finca medina,NA,finca medina,1500,antigua,-,Asociacion Nacional Del Café,2012,"July 17th, 2012",Caturra,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,0.11,0,0,Green,0,"July 17th, 2013",Asociacion Nacional Del Café,m,1500,1500,1500
82.67,Arabica,doi tung development project,Thailand,doi tung development project,doi tung development project,mae fah luang foundation,NA,thailand,Doi Tung Development Project,Specialty Coffee Association,2012,"June 13th, 2012",Other,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,0.12,0,0,Bluish-Green,0,"June 13th, 2013",Specialty Coffee Association,m,NA,NA,NA
82.67,Arabica,montegrande,Mexico,finca monte grande,NA,cafe montegrande,1100,NA,AMIN JAVIER MOISES CEJA,AMECAFE,2012,"June 6th, 2012",Other,Washed / Wet,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,0,0,NA,2,"June 6th, 2013",AMECAFE,m,1100,1100,1100
82.67,Arabica,grupo cafetalero los brujos spr de rl,Mexico,finca castillos,NA,grupo cafetalero los brujos,950,mahuixtlan,MARIA DE LOURDES ANCIRA ELIZONDO,AMECAFE,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,0.12,0,0,NA,0,"June 6th, 2013",AMECAFE,m,950,950,950
82.67,Arabica,george a. fernandez,Colombia,la canada,the beneficio is designed to be ecologic,NA,1800 meters (5900,52 narino (exact location: mattituy; municipal region: florida code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,Specialty Coffee Association,Spring 2011 in Colombia.,"November 16th, 2011",NA,NA,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,0.11,0,0,Green,0,"November 15th, 2012",Specialty Coffee Association,m,1800,5900,3850
82.67,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,kona,NA,Specialty Coffee Association,NA,"September 20th, 2011",NA,NA,7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,7.58,0.03,2,0,NA,0,"September 19th, 2012",Specialty Coffee Association,ft,NA,NA,NA
82.67,Arabica,young kim,Mexico,kassandra,NA,NA,1400 masl,mexico,Finca Kassandra,Specialty Coffee Association,2010-2011,"April 6th, 2011",Blue Mountain,NA,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,0,0,0,NA,1,"April 5th, 2012",Specialty Coffee Association,m,1400,1400,1400
82.67,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindioa,NA,1800 msnm,huila,NA,Almacafé,4T/10,"February 9th, 2011",NA,NA,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,0.08,0,0,NA,3,"February 9th, 2012",Almacafé,m,1800,1800,1800
82.67,Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,NA,NA,NA,Almacafé,2009-2010,"September 3rd, 2010",NA,NA,7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,7.58,0.21,0,0,NA,2,"September 3rd, 2011",Almacafé,m,NA,NA,NA
82.58,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,beneficio ixchel,"unex guatemala, s.a.",4000,oriente,JESUS RAMIREZ,Asociacion Nacional Del Café,2017,"September 8th, 2017",Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,0,1,Green,2,"September 8th, 2018",Asociacion Nacional Del Café,ft,1219.2,1219.2,1219.2
82.58,Arabica,"lin, che-hao krude 林哲豪",Taiwan,林園咖啡 lin yuan coffee,林園咖啡 lin yuan coffee,taiwan coffee laboratory,1050,國姓鄉 guoshing township,林文弘 Lin Wen Hong,Specialty Coffee Association,2016,"August 22nd, 2017",Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,0.11,0,5,Green,0,"August 22nd, 2018",Specialty Coffee Association,m,1050,1050,1050
